OTU ID	SRR6286327	SRR6286328	SRR6286329	SRR6286330	SRR6286331	SRR6286332	SRR6286333	SRR6286334	SRR6286335	SRR6286336	SRR6286337	SRR6286338	SRR6286339	SRR6286340	SRR6286341	SRR6286342	SRR6286343	SRR6286344	SRR6286345	SRR6286346	SRR6286347	SRR6286348	SRR6286349	SRR6286350
Asv2836	0	2	1	16	20	0	7	0	0	3	0	2	0	1	4	11	10	8	3	8	1	0	2	0
Asv2837	14	13	9	5	6	5	3	13	11	8	8	13	20	4	3	2	3	1	9	4	12	18	5	18
Asv2838	0	0	2	8	9	0	18	3	2	6	0	3	3	4	4	8	12	21	3	24	2	0	0	0
Asv2839	9	6	3	0	1	6	2	10	11	12	10	10	7	14	0	2	0	1	16	1	11	25	12	8
Asv284	178	44	21	25	16	215	6	140	196	32	112	40	178	27	10	10	1	3	31	3	58	253	44	126
Asv2840	0	1	1	12	18	0	16	0	0	0	0	0	0	0	9	10	7	12	0	5	0	1	0	0
Asv2841	0	6	6	4	0	1	2	3	5	9	3	10	5	4	0	0	2	4	15	1	6	4	9	3
Asv2842	13	7	2	2	4	10	2	14	19	3	15	7	23	4	4	4	5	4	13	5	8	8	6	10
Asv2843	0	2	2	11	6	0	3	0	0	6	0	9	0	6	3	5	8	10	12	6	7	0	4	0
Asv2844	27	15	3	1	1	12	0	3	14	8	6	8	10	4	2	2	0	0	12	0	8	36	12	24
Asv2845	2	7	8	0	0	1	0	4	2	1	4	6	5	7	0	0	0	0	9	0	4	8	12	4
Asv2846	8	3	0	0	0	4	0	18	15	30	16	21	49	10	0	0	0	1	28	0	3	14	0	15
Asv2847	15	11	4	3	1	19	2	4	3	8	1	9	7	5	2	4	1	1	13	0	15	33	11	26
Asv2848	0	0	0	9	22	0	14	0	0	0	0	0	0	0	4	7	12	9	0	14	0	0	0	0
Asv2849	1	8	0	7	8	0	15	0	0	2	0	1	0	3	5	2	9	13	4	9	1	0	1	0
Asv285	102	98	46	10	12	90	8	63	95	89	61	125	94	100	16	11	17	28	160	11	128	157	101	103
Asv2850	0	3	1	17	15	0	6	1	0	3	1	2	1	1	10	17	7	6	4	11	0	0	1	1
Asv2851	0	0	0	18	9	0	4	0	0	0	0	0	0	0	20	18	5	14	0	4	0	0	0	0
Asv2852	1	12	4	0	2	1	1	3	1	14	1	19	4	12	0	1	4	8	22	3	10	6	11	0
Asv2853	10	14	5	2	2	13	1	4	2	4	0	6	7	8	1	5	1	3	9	1	3	9	16	6
Asv2854	21	0	1	0	0	17	0	20	13	4	9	2	19	0	1	0	0	0	2	0	6	40	0	25
Asv2855	10	8	2	0	0	5	0	1	8	3	5	2	10	4	0	0	0	0	4	0	3	6	3	4
Asv2856	0	1	1	2	1	1	3	0	0	16	0	19	0	10	0	0	5	2	33	4	0	0	1	0
Asv2857	2	10	7	1	1	1	0	8	4	7	3	5	3	4	2	1	1	2	10	0	9	10	8	5
Asv2858	6	8	2	4	3	4	4	2	2	6	2	8	1	2	2	2	3	3	3	4	10	8	10	4
Asv2859	8	9	5	0	0	4	0	5	1	3	1	1	4	3	0	1	1	0	7	0	7	24	9	20
Asv286	53	86	71	0	1	60	2	70	98	123	74	163	120	117	0	0	2	0	249	1	143	116	95	68
Asv2860	1	0	0	1	2	1	8	22	42	3	21	9	38	2	0	1	7	8	3	7	0	1	0	3
Asv2861	0	0	0	21	18	0	2	0	0	1	0	1	0	1	10	10	8	13	2	6	1	0	2	0
Asv2862	2	0	0	0	0	1	14	22	35	0	18	10	37	3	0	1	6	8	0	9	0	2	0	0
Asv2863	0	12	5	1	8	1	3	1	1	1	0	5	0	5	1	2	4	4	4	5	16	0	8	0
Asv2864	3	0	0	6	5	8	4	6	9	2	5	1	7	0	6	6	3	3	4	2	4	20	1	14
Asv2865	0	0	0	33	19	0	11	0	0	0	0	0	0	0	31	15	11	19	0	10	0	0	0	0
Asv2866	0	0	0	6	5	0	2	8	20	4	4	1	11	1	7	7	6	1	5	3	2	3	0	0
Asv2867	0	0	0	4	14	0	10	0	0	0	0	0	0	0	4	13	22	16	0	13	0	0	0	0
Asv2868	0	5	4	7	13	0	16	0	0	0	0	4	0	5	3	3	7	10	0	14	2	1	2	1
Asv2869	2	13	5	0	0	2	0	3	6	4	6	5	3	2	0	0	0	0	5	0	5	9	10	7
Asv287	11	19	18	213	179	15	168	21	22	20	7	20	21	18	167	190	169	218	23	129	22	33	25	28
Asv2870	1	8	5	7	15	0	9	1	1	10	0	6	0	7	9	5	3	1	8	4	11	3	9	2
Asv2871	0	0	0	1	0	0	5	5	5	6	6	5	10	3	0	0	7	11	8	3	0	0	0	0
Asv2872	1	0	0	0	0	9	0	6	11	0	7	0	21	0	0	0	0	0	0	0	0	11	0	7
Asv2873	2	7	8	10	13	9	13	6	13	4	8	4	9	5	2	12	11	2	9	8	5	8	7	6
Asv2874	18	1	1	0	0	11	0	13	12	1	10	4	18	2	0	0	0	0	5	0	1	16	0	25
Asv2875	26	0	0	0	1	10	0	10	21	0	7	0	11	0	0	0	1	0	1	2	1	23	0	14
Asv2876	0	0	0	2	2	0	20	0	0	10	1	10	0	11	0	2	30	26	15	19	0	0	0	0
Asv2877	4	6	3	6	4	8	2	2	2	4	2	4	7	5	4	6	1	5	1	3	8	9	9	8
Asv2878	8	5	2	0	0	4	0	1	1	7	0	5	3	5	1	0	0	0	4	0	10	10	2	7
Asv2879	0	0	0	12	6	0	15	0	0	0	0	0	0	0	4	5	6	10	0	8	0	0	0	0
Asv288	149	0	0	0	0	143	0	181	282	0	112	0	242	0	0	0	0	0	0	0	0	377	1	262
Asv2880	27	16	10	3	5	15	2	33	22	12	13	18	25	11	3	7	2	2	17	5	16	24	21	16
Asv2881	3	1	0	15	28	0	2	0	0	0	0	0	0	0	7	13	8	8	0	3	0	1	0	0
Asv2882	6	12	4	5	4	3	3	2	3	9	4	2	5	4	3	2	6	4	8	3	7	13	14	8
Asv2883	0	12	2	4	3	6	10	3	7	3	4	7	9	2	3	2	8	10	6	3	4	7	4	2
Asv2884	13	3	6	1	6	9	1	2	1	2	3	9	4	1	1	2	1	0	3	0	9	17	7	5
Asv2885	0	2	1	18	17	0	11	0	2	0	0	1	1	1	7	11	11	11	1	12	0	0	1	0
Asv2886	3	38	19	6	10	9	3	1	4	26	3	39	5	20	5	11	1	4	34	2	36	11	38	4
Asv2887	5	2	2	0	0	4	1	5	2	1	1	5	2	6	1	2	4	0	9	1	8	7	2	2
Asv2888	0	0	0	7	8	0	3	4	19	4	4	4	19	3	4	1	2	3	7	5	0	0	1	1
Asv2889	5	10	3	3	1	4	1	1	2	5	4	2	1	7	5	3	0	2	13	2	7	3	3	6
Asv289	67	145	56	37	34	71	24	57	77	120	61	102	90	84	23	17	26	16	174	22	144	133	161	78
Asv2890	4	4	1	0	1	2	0	4	9	3	8	8	8	6	0	0	1	0	4	0	2	12	5	8
Asv2891	14	0	2	0	0	20	0	15	25	0	15	1	18	3	0	0	0	0	2	0	1	27	2	6
Asv2892	0	5	4	8	11	0	10	0	0	1	0	4	1	1	6	2	6	16	3	13	2	0	6	0
Asv2893	9	6	1	0	0	8	0	5	6	3	2	3	6	0	0	2	0	0	5	0	2	14	3	5
Asv2894	0	4	3	26	22	0	10	1	1	3	1	5	0	2	14	15	6	9	8	7	3	1	7	1
Asv2895	13	18	8	3	12	9	8	4	8	9	6	20	2	10	10	9	4	8	16	4	25	16	18	10
Asv2896	0	0	0	3	0	0	13	0	0	1	0	0	0	0	0	1	22	25	0	14	0	0	0	0
Asv2897	2	1	0	0	2	2	3	23	40	2	17	0	40	4	1	2	3	0	2	1	0	3	1	2
Asv2898	0	1	3	10	8	0	12	0	0	4	0	4	0	2	14	14	14	16	3	14	2	0	1	0
Asv2899	3	13	10	5	10	2	7	5	5	24	1	27	7	24	3	2	8	5	41	7	14	2	17	3
Asv29	316	469	273	73	67	361	31	299	444	447	238	498	480	303	71	69	41	47	573	43	469	615	454	464
Asv290	5	146	99	84	90	7	83	7	8	129	2	169	12	117	53	45	34	51	146	65	199	11	185	4
Asv2900	5	7	5	4	3	2	2	1	2	6	1	10	0	3	1	2	1	0	10	0	12	2	13	1
Asv2901	0	8	7	1	0	0	0	0	0	20	0	17	0	17	1	1	1	0	39	0	10	1	11	0
Asv2902	1	0	0	0	3	0	7	11	31	1	6	2	22	4	0	1	3	1	4	3	0	1	0	3
Asv2903	8	5	2	6	9	3	2	3	6	1	4	3	2	2	2	5	4	2	3	6	2	15	1	5
Asv2904	6	3	4	1	0	4	0	4	1	4	2	4	4	1	2	2	1	0	6	0	8	4	4	3
Asv2905	1	10	2	2	0	6	4	4	3	3	4	9	7	0	2	1	1	3	1	3	1	6	3	3
Asv2906	0	4	2	20	8	0	7	1	11	5	3	10	7	5	3	2	6	7	12	7	6	0	7	0
Asv2907	0	9	2	4	4	0	1	3	2	11	2	4	0	11	3	1	1	1	12	2	16	0	11	0
Asv2908	4	7	4	0	0	0	0	1	9	4	2	10	2	7	0	0	0	0	10	0	7	7	7	5
Asv2909	18	2	0	0	0	17	0	8	22	0	3	1	17	2	0	0	0	0	0	0	0	15	1	10
Asv291	4	2	1	3	2	3	1	149	496	75	185	96	390	55	1	0	12	7	118	5	0	6	1	4
Asv2910	0	0	0	22	11	0	14	0	0	0	0	0	0	0	14	12	11	15	0	9	0	0	0	0
Asv2911	15	2	0	0	0	6	0	18	38	2	13	3	24	5	0	0	0	0	3	0	4	19	2	37
Asv2912	0	0	1	2	3	2	11	3	4	2	4	3	4	2	1	1	17	19	3	5	0	0	0	1
Asv2913	0	0	0	11	8	0	34	0	0	0	0	0	0	1	6	4	25	19	0	30	0	0	0	0
Asv2914	2	2	0	0	0	4	0	8	13	27	7	15	18	4	0	0	0	0	18	0	0	6	1	8
Asv2915	0	6	2	21	26	0	10	0	0	2	0	8	0	6	9	12	5	2	2	9	3	0	7	0
Asv2916	0	17	5	0	0	0	0	1	0	53	0	49	0	24	0	0	0	0	69	0	4	0	3	0
Asv2917	4	3	3	13	19	0	3	1	2	2	0	1	0	0	8	6	5	5	4	7	2	1	1	4
Asv2918	6	0	2	6	5	0	9	8	6	2	3	2	9	0	5	2	4	7	6	5	0	7	2	9
Asv2919	0	1	1	10	5	1	15	0	0	0	1	2	0	0	5	10	3	8	0	17	1	1	1	2
Asv292	0	3	3	210	177	0	227	7	11	7	8	6	20	1	205	150	202	190	6	208	7	1	4	1
Asv2920	1	9	7	0	0	3	0	1	1	38	3	25	0	17	0	0	0	0	40	0	20	3	12	1
Asv2921	2	9	5	0	0	3	0	5	4	3	0	11	4	4	2	1	0	1	12	0	6	5	7	6
