ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
Asv1514	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1512	Bacteria	Cyanobacteria						
Asv1510	Bacteria	Actinobacteria	Actinobacteria					
Asv1515	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1517	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1516	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv1519	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1521	Bacteria	Actinobacteria	Actinobacteria	Rubrobacteridae				
Asv1518	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1523	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1524	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales				
Asv1522	Bacteria	Actinobacteria	Actinobacteria					
Asv1526	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1528	Bacteria	Cyanobacteria						
Asv1527	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1529	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1525	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1530	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae			
Asv1531	Bacteria	Bacteroidetes	Chitinophagia	Saprospirales				
Asv1532	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae			
Asv1534	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae			
Asv1535	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacterineae	Mycobacteriaceae	Mycobacterium	
Asv1536	Bacteria	Bacteroidetes						
Asv1533	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae			
Asv1537	Bacteria							
Asv1538	Bacteria	Cyanobacteria						
Asv1539	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			
Asv1541	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1544	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
Asv1543	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae			
Asv1542	Bacteria	Proteobacteria	Betaproteobacteria					
Asv1540	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			
